Date,Time,Hspd(rpm),PID#,Vbec(V),*Cnt,*Skp,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),Vbat(V),Curr(A),Capa(mAh),Bat%(%),Cel#,Vcel(V),Tesc(°C),Alt(m),MDL#,Rud,Ele,Thr,Ail,SB,SC,SD,SE,SF,SW1,SW2,SW3,SW4,SW5,SW6,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2026-08-15,14:25:29.340,2145,3,7.91,287,1,-74,-75,100,9,1,29,10,-71,100,8,27.82,41.47,209,95,7,3.97,39,4.04,0,18,73,725,641,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1820,1536,1862,1509,2012,2012,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:30.340,2123,3,7.91,289,1,-79,-77,100,9,1,29,10,-85,100,8,27.75,56.46,229,95,7,3.94,39,6.12,0,-928,645,-842,-516,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1242,1822,1079,1036,2012,2012,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:31.340,2123,3,7.89,290,1,-70,-75,100,9,1,29,10,-67,100,8,27.32,52.08,235,95,7,3.90,39,7.33,0,-592,-217,778,-97,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1452,1392,1889,1204,2012,2012,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:32.340,2104,3,7.92,292,1,-85,-85,100,8,1,29,10,-67,100,8,27.60,38.72,248,95,7,3.94,39,5.79,0,-622,-216,-112,622,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1811,1392,1444,1189,2012,2012,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:33.340,2139,3,7.91,294,1,-82,-75,100,9,1,29,10,-72,100,8,27.78,32.36,253,94,7,3.96,40,9.57,0,-868,137,-901,628,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1814,1568,1050,1066,2012,2012,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:34.340,2120,3,7.91,296,1,-90,-84,100,8,1,29,10,-69,100,8,27.26,52.41,272,94,7,3.89,40,9.53,0,-963,-111,-227,362,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1681,1445,1387,1019,2012,2012,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:35.340,2183,3,7.91,298,1,-89,-91,100,9,1,29,10,-91,100,7,28.03,22.20,283,94,7,4.00,40,10.01,0,-955,-303,457,8,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1504,1349,1728,1023,2012,2012,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:36.340,2099,3,7.90,300,1,-80,-72,100,9,1,29,25,-82,100,8,27.58,37.63,287,94,7,3.94,40,11.53,0,-1020,-39,-269,-292,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1354,1481,1366,990,2012,2012,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:37.340,2140,3,7.92,302,1,-82,-81,100,8,1,29,25,-74,100,8,27.85,25.76,302,93,7,3.97,40,12.68,0,-317,89,-523,91,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1545,1544,1239,1342,2012,2012,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:38.340,2136,3,7.91,304,1,-74,-73,100,9,1,29,25,-81,100,8,27.68,34.37,312,93,7,3.95,40,13.24,0,-638,13,-874,4,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1502,1506,1063,1181,2012,2012,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
